MONTH	SHIP	POS							
1/1/2007	" $12,168,877 "	15498325							
2/1/2007	" $12,641,962 "	16481249							
3/1/2007	" $14,614,966 "	14567097							
4/1/2007	" $6,817,320 "	16368855							
5/1/2007	" $9,997,262 "	10477479							
6/1/2007	" $19,553,841 "	11979440							
7/1/2007	" $22,666,202 "	16823906							
8/1/2007	" $40,229,470 "	14435155							
9/1/2007	" $52,438,022 "	22198163							
10/1/2007	" $50,667,224 "	23957774							
11/1/2007	" $58,278,951 "	94788287							
12/1/2007	" $17,305,027 "	131951355							
1/1/2008	" $12,136,347 "	13326425							
2/1/2008	" $14,305,418 "	14061479							
3/1/2008	" $12,281,791 "	18231408							
4/1/2008	" $7,200,002 "	10245856							
5/1/2008	" $17,536,259 "	10217870							
6/1/2008	" $29,212,079 "	14973295							
7/1/2008	" $33,270,619 "	13694242							
8/1/2008	" $40,776,470 "	18697224							
9/1/2008	" $92,307,921 "	16452249							
10/1/2008	" $52,209,644 "	23126461							
11/1/2008	" $57,143,556 "	102078501							
12/1/2008	" $11,077,987 "	106607964							
1/1/2009	" $3,669,877 "	14051992							
2/1/2009	" $2,528,749 "	15071264							
3/1/2009	" $7,771,570 "	16887950							
4/1/2009	" $6,820,490 "	13293073							
5/1/2009	" $9,208,141 "	12821012							
6/1/2009	" $20,127,933 "	11208083							
7/1/2009	" $16,860,899 "	13297870							
8/1/2009	" $28,670,229 "	16414835							
9/1/2009	" $55,989,614 "	15610914							
10/1/2009	" $41,971,529 "	20291240							
11/1/2009	" $65,961,451 "	107515963							
12/1/2009	" $40,158,062 "	111370975							
1/1/2010	" $10,592,116 "	18098166							
2/1/2010	" $11,446,432 "	16886160							
3/1/2010	" $14,906,205 "	16090204							
4/1/2010	" $7,379,863 "	10433198							
5/1/2010	" $13,515,043 "	13156291							
6/1/2010	" $35,365,381 "	11650818							
7/1/2010	" $16,584,812 "	13051030							
8/1/2010	" $30,353,151 "	17912133							
9/1/2010	" $81,316,144 "	17330952							
10/1/2010	" $26,134,447 "	32964245							
11/1/2010	" $83,692,406 "	106846502							
12/1/2010	" $37,886,686 "	118347902							
1/1/2011	" $7,477,484 "	19845766							
2/1/2011	" $6,619,421 "	18658062							
3/1/2011	" $13,821,040 "	15061267							
4/1/2011	" $10,885,292 "	14773559							
5/1/2011	" $11,662,627 "	13641203							
6/1/2011	" $24,208,746 "	11982282							
7/1/2011	" $12,653,037 "	15992491							
8/1/2011	" $41,165,818 "	14985668							
