"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jul 2015",8837001.91565201,6898167.59235478,10775836.2389492,5871810.69914578,11802193.1321582
"Aug 2015",9762527.52007706,7609956.1106574,11915098.9294967,6470453.63866418,13054601.4014899
"Sep 2015",11804878.1853519,9173570.9092916,14436185.4614122,7780640.97789723,15829115.3928065
"Oct 2015",16866339.0100343,13037133.1147563,20695544.9053122,11010073.9592059,22722604.0608626
"Nov 2015",53972311.7513955,41385858.443806,66558765.0589851,34722992.5361461,73221630.9666449
"Dec 2015",70794429.9811039,53690165.8644328,87898694.097775,44635715.3791751,96953144.5830327
"Jan 2016",8878679.60698668,6638418.2942171,11118940.9197563,5452495.59142512,12304863.6225482
"Feb 2016",9487044.94743943,6969936.67068926,12004153.2241896,5637460.03782127,13336629.8570576
"Mar 2016",9685116.57727861,6968414.59814965,12401818.5564076,5530279.44159245,13839953.7129648
"Apr 2016",7078153.94921032,4970948.62705522,9185359.27136541,3855461.51100162,10300846.387419
"May 2016",6635224.43382565,4533589.35385131,8736859.51379999,3421050.94589018,9849397.92176113
"Jun 2016",6716485.56165717,4450315.65284786,8982655.47046649,3250677.76778413,10182293.3555302
