"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jul 2015",13638211.3262674,8678493.49402984,18597929.1585049,6052977.46910633,21223445.1834284
"Aug 2015",22955880.7634084,14163666.1460524,31748095.3807644,9509348.87372876,36402412.653088
"Sep 2015",40456498.9893144,24210709.6069872,56702288.3716417,15610708.1948929,65302289.783736
"Oct 2015",27993960.9336763,16252181.6000304,39735740.2673222,10036459.084281,45951462.7830716
"Nov 2015",36889490.361348,20779007.3292152,52999973.3934808,12250632.7722618,61528347.9504343
"Dec 2015",16362472.1874885,8942412.84832569,23782531.5266513,5014470.70326494,27710473.671712
"Jan 2016",5778582.30677372,3063980.58737434,8493184.0261731,1626957.24115858,9930207.37238886
"Feb 2016",8046376.69032277,4138746.50040045,11954006.8802451,2070172.03101628,14022581.3496293
"Mar 2016",8100081.0777662,4040902.00343148,12159260.1521009,1892102.40067426,14308059.7548581
"Apr 2016",5421471.26558391,2622507.89382839,8220434.63733943,1140826.18646345,9702116.34470436
"May 2016",7066100.6181859,3313255.27268883,10818945.963683,1326618.95043319,12805582.2859386
"Jun 2016",15646159.4922917,7108830.63165646,24183488.352927,2589441.72853261,28702877.2560509
